BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet
01G42;Anna-Lindh-Schule (Grundschule);13351;Guineastr. 17-18;45307530;45307520;01G42@01G42.schule.berlin.de;http://www.anna-lindh-schule.de
01G43;Albert-Gutzmann-Schule (Grundschule);13357;Orthstr. 1;46905960;46905970;sekretariat@gutzmannschule.de;http://www.gutzmannschule.de
01G44;Allegro-Grundschule;10785;Ltzowstr. 83-85;257572710;257572734;berlin@allegro-grundschule.de;http://www.allegro-grundschule.de
01G45;Leo-Lionni-Grundschule;13353;Mllerstr. 158;469799670;469799674;info@leo-lionni-grundschule.de;http://www.leo-lionni-grundschule.de
01G46;Grundschule am Koppenplatz;10115;Koppenplatz 12;8471210910;8471210920;sekretariat@koppenplatz.schule.berlin.de;http://www.schule-am-koppenplatz.de
01G47;Miriam-Makeba-Grundschule;10555;Zinzendorfstr. 15-16;39405210;39405220;01G47@01G47.schule.berlin.de;http://www.miriam-makeba-schule.de
01G48;Grundschule am Nordhafen;10115;Boyenstr. 1;225027130;;01G48@01G48.schule.berlin.de;http://www.48-schule-berlin.de
01K01;Willy-Brandt-Schule;13357;Grntaler Str. 5;4039492120;4039492170;kontakt@willy-brandt-teamschule.de;http://www.willy-brandt-teamschule.de
01K02;Ernst-Schering-Schule;13353;Ltticher Str. 47-48;45308710;45308711;info@ernst-schering-schule.de;http://www.ernst-schering-schule.de
01K03;Ernst-Reuter-Schule;13355;Stralsunder Str. 57;467779910;467779916;verwaltung@ernst-reuter-schule.berlin;http://ers.edupage.org
01K04;Heinrich-von-Stephan-Gemeinschaftsschule;10553;Neues Ufer 6;39063130;39063140;sekretariat@hvs.schule.berlin.de;http://www.hvs-schule-berlin.de
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);13357;Pankstr. 18-19;46906340;46906344;schulleitung@hhs-berlin.de;http://www.hhs-berlin.de
01K07;Hemingway-Schule;10115;Gartenstraߥ 10-17;200892210;200892220;sekretariat@hemingway-schule.de;http://www.hemingway-schule.de
01K08;Schule am Schillerpark (Integrierte Sekundarschule);13349;Ofener Str. 6;45799450;45799455;sekretariat@schule-am-schillerpark.de;http://www.Schule-am-Schillerpark.de
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);10559;Stephanstr. 27;38377131;38377130;hedwig-dohm-os@web.de;http://www.hedwig-dohm-os.de
01K10;Theodor-Heuss-Gemeinschaftsschule;10559;Quitzowstr. 141;39835210;39835232;sekretariat@thgberlin.de;http://www.thgberlin.de
01P01;Evangelische Schule Berlin Mitte (Gemeinschaftsschule);10178;Rochstr. 7;70725482;70725483;schule@esbm.de;http://www.esbm.de
01P03;Jdisches Gymnasium Moses Mendelssohn;10115;Groߥ Hamburger Str. 27;7262657110;7262657145;info@jgmm.de;http://www.jgmm.de
01P04;Freie Waldorfschule Berlin Mitte;10178;Weinmeisterstr. 16;80097580;800975814;verwaltung@waldorfschule-mitte.de;http://www.waldorfschule-mitte.de
01P05;Katholische Schule Sankt Paulus (Grundschule);10551;Waldenserstr. 27;3954196;3955032;schulleitung@st-paulus.schule;http://www.st-paulus.schule
01P06;Canisius-Kolleg;10785;Tiergartenstr. 30-31;26481100;26481164;schulleitung@canisius.de;http://www.canisius.de
01P07;Lazarus Schulen der Hoffnungstaler Stiftung Lobetal;13355;Bernauer Str. 115-118;46705204;46705212;C.Herbst-Anacker@lazarus-schulen.berlin;http://www.lazarus-schulen.de
01P11;Plan B Berufsfachschule fr Altenpflege des Europ䩳chen Bildungswerks fr Beruf und Gesellschaft gGmbH;10179;Alte Jakobstr. 79-80;220114970;;planb-pflegeschule@ebg.de;
01P13;Freie Schule am Mauerpark (Grundschule);13355;Wolliner Str. 25/26;42022690;42022691;info@freieschuleberlin.de;http://www.freieschuleberlin.de
01P14;BEST-Sabel Berufsakademie;10179;Littenstr. 109;4284910;42849120;schule@best-sabel.de;http://www.best-sabel.de
01P16;Berlin Metropolitan School (Integrierte Sekundarschule);10115;Linienstr. 122;88727390;887273920;info@metropolitanschool.com;http://www.metropolitanschool.com
01P18;Bilinguale Schule Phorms Berlin Mitte;13355;Ackerstr. 76;467986300;467986320;berlin-mitte@phorms.de;http://www.berlin-mitte.phorms.de
01P22;Berlin Cosmopolitan School;10119;Rckerstr. 9;688332324;688332323;mail@cosmopolitanschool.de;http://www.cosmopolitanschool.de
01P23;Evangelische Schule Berlin Zentrum (Gemeinschaftsschule);10179;Wallstr. 32;25760710;257607129;info@ev-schule-zentrum.de;http://www.ev-schule-zentrum.de
01P25;Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule);10785;Genthiner Str. 20;270007700;270007710;tiergarten@lomonossow-schulen.de;http://www.lomonossow-grundschule.de
01P36;BTB Schulzentrum gGmbH;10178;Alexanderstr. 5;2888589925;2888589990;info@btb-schulzentrum.de;http://www.btb-schulzentrum.de
01P39;GPB College gGmbH;10117;Beuthstr. 8;3904810;39048140;info@gpb-college.de;http://www.GPB-College.de
01P40;Berufsfachschule Paulo Freire im Zentrum ܂ERLEBEN;10559;Turmstr. 21;30390653;30614371;info@pflege-lernen.org;http://www.pflege-lernen.org
01P42;WWV Bildungsakademie gGmbH;10178;Alexanderstr. 1;5146930;;wwv@wwv-online.de;http://www.abizubi.de
01P46;DDA Destiny Diversity Academy GmbH;13355;Brunnenstr. 110 D;76236766;76236767;info@ddacademy.de;http://www.ddacademy.de
01P47;Ecole Voltaire (Grundschule);10785;Kurfrstenstr. 53;4110015;4110014;verein@ecolevoltaire.de;http://www.ecolevoltaire.de
01P48;meco Akademie GmbH;13347;Seestr. 64;81005820;81005824;info@meco-akademie.de;http://www.meco-akademie.de
01P49;Quinoa-Schule Freie Sekundarschule Berlin Wedding;13409;Khnemannstr. 26;983224100;983224109;info@quinoa-bildung.de;http://www.quinoa-bildung.de
01P50;Kristall Grundschule - Inklusive Grundschule in freier Tr䧥rschaft;13353;Tegeler Str. 13;30873841;30873850;kristall-gs@tjfbg.de;http://www.tjfbg.de
01P51;mediencollege Berlin gGmbH;10115;Invalidenstr. 17;28873093;28873094;grimmer@mediencollege-berlin.de;http://www.mediencollege.berlin
01P52;Schulen der ASIG Stiftung e.V.;10553;Kaiserin-Augusta-Allee 14;4690540;46905420;info@asig-berlin.de;http://www.asig-berlin.de
01P54;GFBI gGmbH - Gesellschaft fr Berufsbildung und Integration;10551;Turmstr. 44;91692880;91692882;info@gfbi-ggmbh.de;
01P55;FRւEL Akademie gGmbH - Fachschule fr Sozialp䤡gogik;10178;Alexanderstr. 9;21235280;21235120;info@froebel-akademie.de;http://www.froebel-gruppe.de/akademie
01S01;Schule am Zille-Park;13347;Raven鳴r. 10-12;460617401;460617404;info@schule-am-zille-park.de;http://www.schule-am-zille-park.de
01S05;Schule in der Charit鼯td>;13353;Augustenburger Platz 1;130238053;130238055;sekretariat@sidc.schule.berlin.de;http://www.schuleindercharite.de
01S06;Albert-Gutzmann-Schule;13357;Orthstr. 1;46905960;46905970;sekretariat@gutzmannschule.de;http://www.gutzmannschule.de
01S07;Charlotte-Pfeffer-Schule;10178;Berolinastr. 8;2465740;24657428;schulleitung@charlotte-pfeffer-schule.de;http://www.charlotte-pfeffer.schule-berlin.de
01Y02;John-Lennon-Gymnasium;10119;Zehdenicker Str. 17;40500110;40500120;sekretariat@jlgym-berlin.de;http://www.jlgym-berlin.de
01Y04;Musikgymnasium Carl Philipp Emanuel Bach;10115;Rheinsberger Str. 4-5;40505830;40505850;bach.musikgymnasium@berlin.de;http://musikgymnasium-berlin.de
01Y07;Franz__ches Gymnasium;10785;Derfflingerstr. 7;25758910;25758919;mdormann-farnir@fg-berlin.eu;http://www.fg-berlin.eu
01Y08;Lessing-Gymnasium;13349;Sch__gstr. 17;45798510;45798516;post@lessing-gymnasium-berlin.de;http://www.lessing-gymnasium-berlin.eu
01Y09;Diesterweg-Gymnasium;13357;B__erstr. 2-6;46309620;46309630;sekretariat@dwgym.berlin;http://www.dwgym.berlin
01Y11;Max-Planck-Gymnasium;10179;Singerstr. 8 A;847118830;847118840;sekretariat@mpg-berlin.de;http://www.mpg-berlin.de
01Y12;Gymnasium Tiergarten;10555;Altonaer Str. 26;398009710;398009722;sekretariat@gymnasium-tiergarten.de;http://gymnasium-tiergarten.de
02B01;August-Sander-Schule;10245;Naglerstr. 1-3;29362760;293627620;schulbuero@august-sander-schule.de;http://www.august-sander-schule.de
02B02;Hans-B__er-Schule (OSZ Konstruktionsbautechnik);10969;Lobeckstr. 76;61670510;61670599;info@osz-kt.de;http://www.osz-kt.de
02B03;Modeschule Berlin (OSZ Bekleidung und Mode);10969;Kochstr. 9;25391511;25391515;Schulleitung@modeschule-berlin.de;http://www.modeschule-berlin.de
02B04;OSZ Handel 1;10997;Wrangelstr. 98;6112960;61129615;sekretariat-schulleitung@oszhandel1.de;http://www.oszhandel.de
02B05;Jane-Addams-Schule (OSZ Sozialwesen);10249;Stra߭annstr. 14-16;4202760;420276321;kontakt@osz-soz.de;http://www.osz-soz.de
02G01;Spartacus-Grundschule;10249;Friedenstr. 40-45;42024930;42024937;schulleitung@grundschule-friedrichshain.de;http://www.grundschule-friedrichshain.de
02G02;Hausburg-Grundschule;10249;Hausburgstr. 20;93956760;939567615;sekretariat@hausburg.schule.berlin.de;http://www.hausburgschule.de
02G03;Justus-von-Liebig-Grundschule;10247;Liebigstr. 18A;447283211;447283215;02G03@02G03.schule.berlin.de;http://www.jvl-gs.de
02G04;Pettenkofer-Grundschule;10247;Pettenkoferstr. 20-24;3229811911;3229811915;Sekretariat@pettenkofer.schule.berlin.de;http://www.pettenkofer-grundschule.de
02G07;Ludwig-Hoffmann-Grundschule;10243;Lasdehner Str. 21-23;293474211;293474215;schulleitung@l-hoffmann.schule.berlin.de;http://www.ludwig-hoffmann-grundschule.de
02G08;Grundschule am Traveplatz;10247;Jessnerstr. 24-32;48488000;484880030;sek@gs-am-traveplatz.schule-berlin-fk.de;http://www.grundschule-am-traveplatz.de
02G09;Zille-Grundschule;10245;Boxhagener Str. 46;484880423;484880449;schulleitung@zille-grundschule.de;http://www.Zille-Grundschule.de
02G10;Modersohn-Grundschule;10245;Niemannstr. 3;48488340;4848834127;Schulleitung@modersohn.schule.berlin.de;http://www.modersohn-schule.de
02G11;Thalia-Grundschule;10245;Alt-Stralau 34;29347830;293478315;Schulleitung@thalia-gs.schule.berlin.de;http://www.thalia-grundschule.de
02G12;Kurt-Schumacher-Grundschule;10969;Puttkamerstr. 19;50585931;50585915;02G12@02G12.schule.berlin.de;http://www.kurt-schumacher-grundschule.de
02G13;Charlotte-Salomon-Grundschule;10965;Groߢeerenstr. 40;50587511;50587515;Sekretariat@02G13.schule.berlin.de;http://www.charlotte-salomon-grundschule.de
02G14;Galilei-Grundschule;10969;Friedrichstr. 13;50585811;50585815;sekretariat@galilei-grundschule.de;http://www.galilei-grundschule.de
02G18;Nrtingen-Grundschule;10997;Mariannenplatz 28;61784231;61784235;sekretariat@nuertingen.schule.berlin.de;http://www.nuertingen-grundschule.de
02G19;Fanny-Hensel-Grundschule;10963;Sch__erger Str. 24;50586811;50586815;sekretariat@fanny-hensel.schule.berlin.de;http://www.Fanny-Hensel-Grundschule.de
02G20;Brgermeister-Herz-Grundschule;10961;Wilmsstr. 10;3198702211;3198702215;sekretariat@bmh.schule.berlin.de;http://www.bmh-schule.de
02G21;Reinhardswald-Grundschule;10961;Gneisenaustr. 73-74;69037211;69037215;sekretariat@reinhardswald.schule.berlin.de;http://www.reinhardswald-grundschule.de
02G22;Jens-Nydahl-Grundschule;10999;Kohlfurter Str. 20;50586111;50586115;sekretariat@jng.schule.berlin.de;
02G23;Fichtelgebirge-Grundschule;10997;G__tzer Ufer 2;22502811;22502815;schulleitung@fichtelgebirge.schule.berlin.de;http://fichtelgebirge-grundschule-berlin.de
02G24;Otto-Wels-Grundschule;10969;Alexandrinenstr. 12;50585311;50585315;sekretariat@otto-wels.schule.berlin.de;http://www.owg-berlin.de
02G26;Lemgo-Grundschule;10967;B__str. 5;50585711;50585715;Sekretariat@lemgo.schule.de;http://www.lemgo-grundschule.de
02G27;Hunsrck-Grundschule;10999;Manteuffelstr. 79;22503111;22503115;schulleitung@hunsrueck-grundschule.de;http://www.Hunsrueck-Grundschule.de
02G29;Heinrich-Zille-Grundschule;10997;Waldemarstr. 118;22503611;22503615;Heinrich-Zille-GS@web.de;http://www.Heinrich-Zille-Grundschule.de
02G31;Adolf-Glaߢrenner-Grundschule;10965;Hagelberger Str. 34;50587531;50587535;Adolf-Glassbrenner-Schule@web.de;http://www.adolf-glassbrenner-schule.de
02G32;Clara-Grunwald-Grundschule;10963;Hallesche Str. 24;81888311;81888315;clara-grunwald-gs@gmx.de;http://www.clara-grunwald.cidsnet.de
02G33;Aziz-Nesin-Grundschule;10961;Urbanstr. 15;2700409431;2700409435;Sekretariat@aziz-nesin.schule.berlin.de;http://www.aziz-nesin-schule.de
02G34;Jane-Goodall-Grundschule;10247;Scharnweberstr. 19;2464789211;2464789215;sekretariat@jane-goodall.schule.berlin.de;http://www.jane-goodall-grundschule.de
02G35;Rosa-Parks-Grundschule;10999;Reichenberger Str. 65;22502511;22502515;mail@rosa-parks-grundschule.de;http://www.rosa-parks-grundschule.de
02G36;Blumen-Grundschule;10243;Andreasstr. 50;3198702911;3198702915;buero@36-grundschule.de;http://www.36-grundschule.de
02G37;37. Schule (Grundschule) (Neugrndung zum 01.08.2022);10249;Pufendorfstr. 10;;;;
02K01;Ellen-Key-Schule;10243;Rdersdorfer Str. 20-27;29773060;2977306215;sekretariat@ellen-key.schule.berlin.de;http://www.eko-online.net
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);10961;Blcherstr. 46 -47;2250277111;2250277115;sekretariat@cvo-berlin.de;http://www.cvo-berlin.de
02K03;Hector-Peterson-Schule;10963;Tempelhofer Ufer 15;50587711;50587715;sekretariat@hps-berlin.schule;http://www.hps-berlin.schule
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);10961;Gneisenaustr. 7;81858711;81858715;schulleitung@lmg.schule.berlin.de;http://lina-morgenstern-gemeinschaftsschule.de
02K05;Schule am K__stor (Integrierte Sekundarschule);10249;Weinstr. 3;447283411;447283415;sek@koenigstor-os.schule-berlin-fk.de;http://www.schule-am-koenigstor.de
02K06;Emanuel-Lasker-Schule (Gemeinschaftsschule);10245;Modersohnstr. 53;2910807;29669216;sekretariat@02K06.schule.berlin.de;http://els-schule.de
02K07;Georg-Weerth-Schule;10249;Eckertstr. 16a;246567211;246567215;info@georg-weerth-schule.de;http://www.georg-weerth-schule.de
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);10997;Skalitzer Str. 55;22503511;22503515;Sekretariat@rvs.schule.berlin.de;http://www.refik-veseli-schule.eu
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);10967;Graefestr. 85;50586011;50586015;sekretariat@graefemail.de;http://www.albrecht-von-graefe-schule.de
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);10961;Bergmannstr. 64;50585611;50585615;sekretariat@ferdinand-freiligrath-schule.de;http://www.ferdinand-freiligrath-schule.de
02P03;Islamische Grundschule;10967;Boppstr. 4;69507860;69507861;sekretariat@islamische-grundschule.de;http://www.islamische-grundschule.de
02P04;Freie Waldorfschule Kreuzberg;10969;Ritterstr. 78;61510100;408189615;schulsekretariat@fwsk.net;http://www.waldorfschule-kreuzberg.de
02P05;Sozialp䤡gogisches Institut Berlin Walter May - Stiftung SPI;10963;Hallesches Ufer 32-38;25937390;259373950;fachschulen@stiftung-spi.de;http://www.spi-fachschulen.de
02P07;Campus Berufsbildung e.V.;10969;Friedrichstr. 231;25931877;25931879;tbfs@campus-bb.de;http://www.campus-bb.de
02P09;Freie Schule Kreuzberg (Grundschule);10997;Wrangelstr. 128;74073334;74073335;kontakt@freieschulekreuzberg.de;http://freieschulekreuzberg.de
02P10;Vitanas Akademie gGmbH;10997;Skalitzer Str. 85-86;5498860;54988610;akademie@vitanas.de;http://www.vitanas.de
02P11;Berlin Bilingual School (Grundschule);10249;Weinstr. 1;24628089;27582913;info@berlin-bilingual.de;http://berlin-bilingual-school.de
02P12;Kreativit䴳Grundschule Berlin Friedrichshain;10243;Strausberger Str. 38;29035117;29039449;schule-fh@krea-schulzentrum.de;http://www.krea-schulzentrum.de
02P13;Netzwerk-Schule (Gemeinschaftsschule);10243;Marchlewskistr. 40;40393340;;schule@netzwerkspielkultur.de;http://schule.netzwerkspielkultur.de
02P16;BWK Berufsfachschule fr Altenpflege;10997;Cuvrystr. 34;6179290;61792937;kontakt@bwk-berlin.de;http://www.bwk-berlin.de
02P19;FORUM Berufsbildung e.V.;10969;Charlottenstr. 2;2590080;25900810;info@forum-berufsbildung.de;http://www.forum-berufsbildung.de
02P20;WBS Training Schulen gGmbH;10247;Voigtstr. 3;24326902;34727919;schulen.berlin@wbs-schulen.de;http://www.wbs-schulen.de
02P22;Pro Inklusio - Fachschule fr Sozialp䤡gogik;10997;Muskauer Str. 53;20078010;20078465;proinklusio@diebildungspartner.de;http://www.procedo-berlin.com
02P23;Concept Berufliche Schulen gGmbH Berlin;10245;Revaler Str. 100;48485850;48485868;info@concept-berlin.de;http://www.concept-berlin.de
02P25;Evangelische Schule Berlin Friedrichshain (Grundschule);10249;Petersburger Platz 5;32296700;32297730;info@ev-schule-friedrichshain.de;http://www.ev-schule-friedrichshain.de
02P26;VIA Bildungszentrum fr Pflegeberufe;10969;Axel-Springer-Str. 42;25373927;25373933;bildungszentrum@via-berlin.de;http://www.via-bildungszentrum.de
02P29;Kenntnisreich gGmbH;10965;Schmiedehof 23;98510786;;fachschule@kenntnisreich.de;http://www.kenntnisreich-kindertagesstaetten.de
02P30;Concept - Fachschule fr Sozialp䤡gogik;10243;Gubener Str. 47;33916940;;info@concept-berlin.de;http://www.concept-berlin.de
02P31;procon College gGmbH;10963;Stresemannstr. 78;17655237525;21002124;info@procon-college.de;http://www.procon-college.de
02P32;sfe Schule fr Erwachsenenbildung e.V.;10961;Gneisenaustr. 2A;6937048;6937049;koa@sfeberlin.de;http://www.sfeberlin.de
02P33;Freie Schule Windrose;10999;Wiener Str. 1-6;15221883813;61621769;info@freie-schule-windrose.de;http://www.freie-schule-windrose.de
02S01;Temple-Grandin-Schule;10243;Lasdehner Str. 19;293474231;293474235;Schulleitung@temple-grandin.schule.berlin.de;http://www.temple-grandin-schule.de
02S02;Gustav-Meyer-Schule;10999;Kohlfurter Str. 22;347423911;347423915;02S02@02S02.schule.berlin.de;http://www.gustav-meyer-schule.de
02S03;Margarethe-von-Witzleben-Schule;10243;Palisadenstr. 76-77;420249211;420249215;schulleitung@witzleben.schule.berlin.de;http://www.witzleben-schule.de
02S06;Liebmann-Schule;10969;Friedrichstr. 13;50585831;50585835;02S06@02S06.schule.berlin.de;
02Y01;Andreas-Gymnasium;10243;Koppenstr. 76;29369020;2936902199;sekretariat@andreas.schule.berlin.de;http://www.andreas-schule.org
02Y03;Heinrich-Hertz-Gymnasium;10247;Rigaer Str. 81-82;42262080;422620884;sekretariat@hhgym.de;http://www.hhgym.de
02Y04;Georg-Friedrich-H䮤el-Gymnasium;10247;Frankfurter Allee 6 A;2250279011;2250279015;sekretariat@haendelgym.de;http://www.haendelgym.de
02Y05;Dathe-Gymnasium;10243;Helsingforser Str. 11-13;2936063;293606415;sek@dathe-gymnasium.de;http://www.dathe-gymnasium.de
02Y06;Leibniz-Gymnasium;10961;Schleiermacherstr. 23;50586711;50586715;sekretariat@leibnizschule-berlin.de;http://www.leibnizschule-berlin.de
02Y07;Robert-Koch-Gymnasium;10967;Dieffenbachstr. 60;50585731;50585735;Koch-Gymnasium@web.de;http://www.Robert-Koch-Oberschule.de
02Y08;Hermann-Hesse-Gymnasium;10967;B__str. 16;666434090;666434091;kontakt@hesse-kreuzberg.de;http://www.hesse-kreuzberg.de
03A04;Abendgymnasium Prenzlauer Berg;10439;Driesener Str. 22;4254218;4250121;mail@abendgymnasium-berlin.de;http://www.abendgymnasium-berlin.de
03B02;Berufliche Schule fr Sozialwesen Pankow;13158;Erbeskopfweg 6-10;50019910;50019924;sekretariat@schule-sozialwesen-pankow.de;http://www.schule-sozialwesen-pankow.de
03B04;Brillat-Savarin-Schule (OSZ Gastgewerbe);13088;Buschallee 23 A;9142660;914266220;sekretariat@osz-gastgewerbe.de;http://www.osz-gastgewerbe.de
03B06;Konrad-Zuse-Schule;13156;Hermann-Hesse-Str. 34/36;91609411;9165691;sekretariat@kzsb.de;http://www.konrad-zuse-schule-berlin.de
03B07;Elinor-Ostrom-Schule (OSZ Browirtschaft und Dienstleistungen);10409;Mandelstr. 6-8;42185411;42185412;info@oszeos.de;http://www.oszeos.de
03B08;Staatliche Ballett- und Artistikschule Berlin;10409;Erich-Weinert-Str. 103;4057790;40577919;schulleitung@ballettschule-berlin.de;http://www.ballettschule-berlin.de
03B10;Max-Bill-Schule (OSZ Planen, Bauen, Gestalten);13086;Gustav-Adolf-Str. 66;912052175;912052174;03B10@03B10.schule.berlin.de;http://www.max-bill-schule.de
03G01;Schule am Hamburger Platz (Grundschule);13086;Gustav-Adolf-Str. 21;9246762;92091818;info@schule-am-hamburger-platz.de;http://www.schule-am-hamburger-platz.de
03G02;Heinrich-Roller-Grundschule;10405;Heinrich-Roller-Str. 18;4425674;44039188;sekretariat@roller.schule.berlin.de;http://www.Heinrich-Roller-Grundschule.de
03G03;Grundschule am Kollwitzplatz;10435;Knaackstr. 67;44377100;44377108;Sekretariat@gsak.schule.berlin.de;http://www.gs-am-Kollwitzplatz.de
03G04;Grundschule an der Marie;10405;Christburger Str. 7;40301298;24627804;Sekretariat@marie.schule.berlin.de;http://www.schule-an-der-Marie.de
03G05;Homer-Grundschule;10407;Pasteurstr. 10/12;4250575;4250177;post@homergs.de;http://www.homer-grundschule.de
03G06;B__w-Grundschule;10407;John-Schehr-Str. 38;42851032;42851034;info@boetzow-grundschule.de;http://www.boetzow-grundschule.de
03G08;Grundschule am Planetarium;10405;Ella-Kay-Str. 47;4250874;42081125;03G08@03G08.schule.berlin.de;http://www.gsap.de
03G09;Thomas-Mann-Grundschule;10437;Greifenhagener Str. 58;4457761;4455590;03G09@03G09.schule.berlin.de;http://www.thomas-mann-grundschule.de
03G10;Grundschule am Hohen Feld;13125;Bedeweg 1;948006220;948006233;sekretariat@gsahf.schule.berlin.de;http://grundschule-amhohenfeld.de
03G11;Schule am Falkplatz (Grundschule);10437;Gleimstr. 49;443875010;44387539;schulleiterin@schule-am-falkplatz.berlin;http://www.schule-am-falkplatz.berlin
03G12;Paul-Lincke-Grundschule;10409;Pieskower Weg 39;42850876;42850877;03G12@03G12.schule.berlin.de;
03G13;Grundschule in Rosenthal;13158;Kastanienallee 59;91699480;91699481;info@grundschule-rosenthal.de;http://www.grundschule-rosenthal.de
